County,School District,Use Elementary School District,Code Number
St. Lawrence,Potsdam,,513
St. Lawrence,Salmon River,,558
St. Lawrence,St. Regis Falls,,619
St. Lawrence,Tupper Lake,,647
Suffolk,Amagansett,,013
Suffolk,Amityville,,014
Suffolk,Babylon,,030
Suffolk,Bayport-Blue Point,,039
Suffolk,Bay Shore,,038
Suffolk,Brentwood,,059
Suffolk,Bridgehampton,,062
Suffolk,Center Moriches,,096
Suffolk,Central Islip,,097
Suffolk,Cold Spring Harbor,,123
Suffolk,Commack,,125
Suffolk,Comsewogue,,126
Suffolk,Connetquot,,127
Suffolk,Copiague,,130
Suffolk,Deer Park,,142
Suffolk,East Hampton,,159
Suffolk,East Islip,,161
Suffolk,East Moriches,,163
Suffolk,Eastport/South Manor,,170
Suffolk,East Quogue,,164
Suffolk,Elwood,,186
Suffolk,Farmingdale,,191
Suffolk,Fire Island,,193
Suffolk,Fishers Island,,194
Suffolk,Greenport,,239
Suffolk,Half Hollow Hills,,250
Suffolk,Hampton Bays,,255
Suffolk,Harborfields,,258
Suffolk,Hauppauge,,264
Suffolk,Huntington,,292
Suffolk,Islip,,304
Suffolk,Kings Park,,321
Suffolk,Lindenhurst,,344
Suffolk,Longwood,,392
Suffolk,Mattituck-Cutchogue,,382
Suffolk,Middle Country,,391
Suffolk,Miller Place,,397
Suffolk,Montauk,,404
Suffolk,Mount Sinai,,414
Suffolk,New Suffolk,,429
Suffolk,North Babylon,,440
Suffolk,Northport-East Northport,,452
Suffolk,Oysterponds,,477
Suffolk,Patchogue-Medford,,481
Suffolk,Port Jefferson,,509
Suffolk,Quogue,,521
Suffolk,Remsenburg-Speonk,,529
Suffolk,Riverhead,,537
Suffolk,Rocky Point,,540
Suffolk,Sachem,,553
Suffolk,Sagaponack,,555
Suffolk,Sag Harbor,,554
Suffolk,Sayville,,566
Suffolk,Shelter Island,,580
Suffolk,Shoreham-Wading River,,585
Suffolk,Smithtown,,590
Suffolk,Southampton,,608
Suffolk,South Country,,596
Suffolk,South Huntington,,599
Suffolk,Southold,,610
Suffolk,Springs,,617
Suffolk,Three Village,,635
Suffolk,Tuckahoe Common,,645
Suffolk,Wainscott,,661
Suffolk,West Babylon,,684
Suffolk,Westhampton Beach,,693
Suffolk,West Islip,,688
Suffolk,William Floyd,,381
Suffolk,Wyandanch,,712
Sullivan,Eldred,,178
Sullivan,Ellenville,,180
Sullivan,Fallsburgh,,190
Sullivan,Liberty,,342
Sullivan,Livingston Manor,,349
Sullivan,Minisink Valley,,400
Sullivan,Monticello,,406
Sullivan,Pine Bush,,495
Sullivan,Port Jervis,,510
Sullivan,Sullivan West,,143
Sullivan,Roscoe,,545
Sullivan,Tri-Valley,,640
Tioga,Candor,,085
Tioga,Dryden,,152
Tioga,Ithaca,,305
Tioga,Maine-Endwell,,364
Tioga,Marathon,,372
Tioga,Newark Valley,,432
Tioga,Owego Apalachin,,473
Tioga,Spencer-Van Etten,,613
Tioga,Tioga,,637
Tioga,Union-Endicott,,651
Tioga,Vestal,,658
Tioga,Waverly,,676
Tioga,Whitney Point,,703
Tompkins,Candor,,085
Tompkins,Cortland,,134
Tompkins,Dryden,,152
Tompkins,Groton,,245
Tompkins,Homer,,281
